Date,Agent,Customer,Quality,Weave,Composition,Quantity
2022-02-08,Sammy,Emma Brown,Standard,Plain,100% Silk,5
2022-02-08,Mark,Mike Wilson,Standard,Satin,100% Cotton,6
2022-02-08,Sammy,Emma Brown,Premium,Plain,100% Silk,1
2022-02-08,Mark,Sarah Johnson,Standard,Satin,100% Cotton,1
2022-02-08,Mark,James Smith,Standard,Plain,100% Cotton,6
2022-02-09,Sammy,Sarah Johnson,Standard,Satin,100% Cotton,4
2022-02-09,Sammy,David Lee,Premium,Plain,100% Silk,4
2022-02-09,Mark,Sarah Johnson,Standard,Plain,100% Cotton,1
2022-02-09,Mark,David Lee,Premium,Satin,100% Cotton,2
2022-02-09,Sammy,Sarah Johnson,Premium,Plain,100% Silk,2
2022-02-10,Mark,Sarah Johnson,Standard,Satin,100% Silk,3
2022-02-10,Mark,Sarah Johnson,Premium,Satin,100% Silk,1
2022-02-10,Mark,Mike Wilson,Premium,Satin,100% Cotton,2
2022-02-10,Sammy,Mike Wilson,Premium,Plain,100% Cotton,3
2022-02-11,Sammy,Sarah Johnson,Premium,Satin,100% Cotton,1
2022-02-11,Mark,Emma Brown,Premium,Plain,100% Cotton,1
2022-02-11,Mark,Mike Wilson,Standard,Plain,100% Silk,3
2022-02-11,Sammy,James Smith,Standard,Satin,100% Silk,7
2022-02-12,Mark,James Smith,Standard,Satin,100% Silk,3
2022-02-12,Sammy,Emma Brown,Premium,Plain,100% Silk,4
2022-02-12,Sammy,Sarah Johnson,Premium,Plain,100% Silk,4
2022-02-13,Sammy,James Smith,Standard,Satin,100% Cotton,6
2022-02-15,Mark,James Smith,Premium,Plain,100% Cotton,3
2022-02-15,Sammy,James Smith,Standard,Satin,100% Cotton,3
2022-02-15,Mark,David Lee,Premium,Plain,100% Silk,5
2022-02-15,Mark,Mike Wilson,Premium,Satin,100% Cotton,3
2022-02-16,Sammy,Emma Brown,Standard,Satin,100% Cotton,3
2022-02-16,Sammy,Mike Wilson,Premium,Plain,100% Cotton,1
2022-02-16,Mark,Emma Brown,Standard,Plain,100% Cotton,1
2022-02-16,Sammy,James Smith,Standard,Plain,100% Cotton,3
2022-02-16,Sammy,James Smith,Standard,Plain,100% Silk,3
2022-02-16,Mark,David Lee,Standard,Plain,100% Silk,7
2022-02-16,Sammy,Emma Brown,Standard,Satin,100% Silk,1
2022-02-17,Mark,Mike Wilson,Standard,Satin,100% Silk,3
2022-02-17,Mark,Emma Brown,Premium,Plain,100% Cotton,3
2022-02-18,Mark,David Lee,Premium,Plain,100% Silk,1
2022-02-18,Mark,James Smith,Premium,Satin,100% Silk,5
2022-02-18,Mark,David Lee,Standard,Satin,100% Silk,5
2022-02-19,Sammy,James Smith,Premium,Satin,100% Cotton,4
2022-02-20,Mark,Mike Wilson,Standard,Plain,100% Silk,1
2022-02-20,Sammy,Sarah Johnson,Standard,Plain,100% Cotton,6
2022-02-20,Sammy,Emma Brown,Standard,Plain,100% Cotton,4
2022-02-20,Mark,Emma Brown,Standard,Plain,100% Cotton,3
2022-02-20,Sammy,Mike Wilson,Standard,Plain,100% Cotton,3
2022-02-20,Sammy,Emma Brown,Standard,Satin,100% Silk,1
2022-02-22,Sammy,James Smith,Premium,Plain,100% Silk,1
2022-02-22,Mark,James Smith,Premium,Plain,100% Cotton,1
2022-02-22,Sammy,Emma Brown,Premium,Satin,100% Silk,5
2022-02-22,Mark,James Smith,Premium,Satin,100% Silk,5
2022-02-22,Mark,David Lee,Premium,Plain,100% Cotton,4
2022-02-22,Mark,James Smith,Premium,Satin,100% Silk,5
2022-02-23,Mark,Emma Brown,Premium,Satin,100% Silk,5
2022-02-23,Sammy,Emma Brown,Standard,Satin,100% Silk,3
2022-02-23,Mark,Mike Wilson,Standard,Satin,100% Cotton,3
2022-02-23,Mark,Mike Wilson,Standard,Plain,100% Cotton,3
2022-02-23,Sammy,Emma Brown,Standard,Satin,100% Silk,1
2022-02-24,Mark,Sarah Johnson,Premium,Plain,100% Cotton,4
2022-02-24,Sammy,Sarah Johnson,Premium,Satin,100% Cotton,2
2022-02-24,Mark,Emma Brown,Premium,Plain,100% Silk,5
2022-02-25,Mark,Emma Brown,Premium,Satin,100% Cotton,3
2022-02-25,Mark,David Lee,Premium,Plain,100% Cotton,4
2022-02-27,Mark,Sarah Johnson,Standard,Plain,100% Silk,3
2022-02-27,Mark,Emma Brown,Premium,Satin,100% Silk,2
2022-02-27,Mark,James Smith,Standard,Plain,100% Silk,3
2022-02-27,Mark,James Smith,Standard,Plain,100% Silk,1
2022-02-28,Mark,Sarah Johnson,Standard,Plain,100% Silk,3
2022-02-28,Sammy,Sarah Johnson,Standard,Satin,100% Silk,7
2022-02-28,Sammy,Emma Brown,Premium,Plain,100% Cotton,2
2022-02-28,Sammy,James Smith,Standard,Satin,100% Silk,3
2022-03-01,Sammy,Sarah Johnson,Standard,Satin,100% Silk,4
2022-03-01,Mark,Emma Brown,Premium,Satin,100% Silk,3
2022-03-02,Mark,David Lee,Standard,Satin,100% Cotton,3
2022-03-02,Sammy,Sarah Johnson,Standard,Satin,100% Cotton,6
2022-03-02,Mark,David Lee,Premium,Plain,100% Silk,2
2022-03-03,Sammy,David Lee,Premium,Plain,100% Silk,1
2022-03-03,Sammy,James Smith,Premium,Satin,100% Cotton,2
2022-03-03,Mark,Emma Brown,Standard,Satin,100% Silk,4
2022-03-04,Mark,Sarah Johnson,Standard,Satin,100% Silk,1
2022-03-04,Mark,James Smith,Premium,Plain,100% Silk,2
2022-03-04,Sammy,Mike Wilson,Premium,Plain,100% Cotton,1
2022-03-04,Sammy,Sarah Johnson,Premium,Plain,100% Silk,4
2022-03-05,Mark,Emma Brown,Standard,Satin,100% Silk,4
2022-03-06,Mark,David Lee,Standard,Satin,100% Cotton,1
2022-03-06,Mark,Emma Brown,Premium,Plain,100% Cotton,4
2022-03-06,Sammy,Sarah Johnson,Standard,Satin,100% Cotton,4
2022-03-07,Mark,James Smith,Premium,Satin,100% Cotton,2
2022-03-08,Mark,Emma Brown,Premium,Plain,100% Cotton,4
2022-03-10,Sammy,James Smith,Premium,Satin,100% Cotton,4
2022-03-10,Mark,Mike Wilson,Standard,Satin,100% Cotton,1
2022-03-10,Mark,David Lee,Standard,Satin,100% Cotton,1
2022-03-10,Mark,Mike Wilson,Standard,Satin,100% Silk,1
2022-03-10,Mark,Mike Wilson,Premium,Plain,100% Silk,4
2022-03-10,Sammy,Mike Wilson,Standard,Plain,100% Silk,1
2022-03-11,Sammy,Sarah Johnson,Standard,Satin,100% Silk,1
2022-03-13,Mark,Emma Brown,Premium,Satin,100% Cotton,4
2022-03-13,Mark,Sarah Johnson,Premium,Plain,100% Cotton,4
2022-03-13,Sammy,Mike Wilson,Premium,Satin,100% Cotton,1
2022-03-14,Mark,Sarah Johnson,Premium,Plain,100% Cotton,1
2022-03-14,Sammy,James Smith,Standard,Plain,100% Cotton,6
2022-03-14,Sammy,Emma Brown,Standard,Satin,100% Cotton,4
2022-03-15,Sammy,David Lee,Premium,Plain,100% Cotton,2
2022-03-16,Sammy,James Smith,Premium,Satin,100% Cotton,1
2022-03-16,Sammy,James Smith,Standard,Plain,100% Silk,3
2022-03-16,Sammy,David Lee,Premium,Plain,100% Silk,1
2022-03-16,Mark,Mike Wilson,Premium,Satin,100% Cotton,2
2022-03-16,Mark,Mike Wilson,Standard,Plain,100% Cotton,3
2022-03-16,Mark,Sarah Johnson,Premium,Satin,100% Cotton,4
2022-03-17,Mark,David Lee,Premium,Satin,100% Cotton,3
2022-03-17,Sammy,Sarah Johnson,Premium,Plain,100% Silk,1
2022-03-17,Sammy,Mike Wilson,Standard,Plain,100% Cotton,1
2022-03-19,Mark,Emma Brown,Standard,Satin,100% Silk,6
2022-03-19,Mark,Sarah Johnson,Standard,Satin,100% Cotton,3
2022-03-19,Mark,Sarah Johnson,Standard,Satin,100% Cotton,1
2022-03-19,Mark,David Lee,Standard,Satin,100% Cotton,6
2022-03-19,Sammy,Mike Wilson,Premium,Plain,100% Cotton,2
2022-03-20,Sammy,David Lee,Premium,Plain,100% Cotton,3
2022-03-21,Mark,James Smith,Premium,Plain,100% Cotton,3
2022-03-22,Sammy,Emma Brown,Premium,Satin,100% Silk,3
2022-03-22,Mark,David Lee,Premium,Plain,100% Cotton,3
2022-03-22,Mark,David Lee,Premium,Plain,100% Cotton,3
2022-03-22,Mark,Sarah Johnson,Premium,Satin,100% Cotton,2
2022-03-23,Sammy,James Smith,Standard,Satin,100% Silk,4
2022-03-23,Mark,James Smith,Standard,Satin,100% Cotton,3
2022-03-24,Sammy,David Lee,Standard,Plain,100% Cotton,1
2022-03-25,Sammy,Mike Wilson,Premium,Plain,100% Cotton,1
2022-03-25,Sammy,Mike Wilson,Premium,Plain,100% Cotton,2
2022-03-25,Mark,Emma Brown,Premium,Satin,100% Silk,2
2022-03-25,Sammy,Emma Brown,Standard,Satin,100% Cotton,1
2022-03-25,Mark,Emma Brown,Standard,Satin,100% Silk,4
2022-03-25,Mark,David Lee,Standard,Satin,100% Silk,4
2022-03-25,Sammy,David Lee,Standard,Plain,100% Cotton,3
2022-03-26,Sammy,Mike Wilson,Premium,Plain,100% Cotton,4
2022-03-26,Mark,Mike Wilson,Premium,Plain,100% Cotton,2
2022-03-26,Mark,Sarah Johnson,Premium,Plain,100% Silk,4
2022-03-27,Mark,Sarah Johnson,Standard,Satin,100% Cotton,6
2022-03-27,Mark,David Lee,Standard,Satin,100% Silk,4
2022-03-27,Mark,Sarah Johnson,Standard,Satin,100% Silk,3
2022-03-27,Sammy,Emma Brown,Premium,Satin,100% Cotton,2
2022-03-27,Sammy,David Lee,Standard,Plain,100% Silk,4
2022-03-27,Mark,James Smith,Standard,Satin,100% Cotton,4
2022-03-28,Sammy,James Smith,Premium,Satin,100% Silk,4
2022-03-28,Sammy,James Smith,Standard,Satin,100% Cotton,3
2022-03-29,Sammy,Emma Brown,Standard,Satin,100% Silk,6
2022-03-29,Sammy,David Lee,Premium,Satin,100% Cotton,3
2022-03-29,Mark,Emma Brown,Premium,Plain,100% Silk,1
2022-03-30,Mark,Mike Wilson,Premium,Plain,100% Cotton,4
2022-03-30,Sammy,David Lee,Premium,Satin,100% Cotton,3
2022-03-30,Sammy,James Smith,Standard,Plain,100% Silk,1
2022-03-30,Sammy,Sarah Johnson,Premium,Satin,100% Cotton,3
2022-03-31,Mark,David Lee,Premium,Plain,100% Cotton,2
2022-03-31,Sammy,Sarah Johnson,Premium,Satin,100% Silk,4
2022-03-31,Mark,Mike Wilson,Premium,Plain,100% Silk,1
2022-03-31,Sammy,David Lee,Premium,Plain,100% Silk,2
2022-03-31,Sammy,Mike Wilson,Standard,Plain,100% Cotton,6
2022-04-01,Sammy,David Lee,Premium,Plain,100% Silk,2
2022-04-02,Sammy,Sarah Johnson,Premium,Satin,100% Cotton,2
2022-04-02,Mark,Mike Wilson,Standard,Plain,100% Silk,1
2022-04-02,Mark,Emma Brown,Premium,Satin,100% Silk,1
2022-04-02,Sammy,Sarah Johnson,Standard,Plain,100% Cotton,2
2022-04-03,Mark,David Lee,Standard,Plain,100% Cotton,5
2022-04-03,Mark,David Lee,Premium,Plain,100% Silk,2
2022-04-04,Mark,Emma Brown,Premium,Plain,100% Silk,2
2022-04-05,Mark,Sarah Johnson,Premium,Plain,100% Cotton,1
2022-04-05,Mark,James Smith,Premium,Plain,100% Cotton,3
2022-04-05,Mark,James Smith,Premium,Satin,100% Silk,2
2022-04-05,Mark,Sarah Johnson,Premium,Satin,100% Cotton,2
2022-04-06,Mark,David Lee,Premium,Plain,100% Cotton,1
2022-04-06,Mark,Emma Brown,Premium,Satin,100% Silk,1
2022-04-06,Sammy,Mike Wilson,Standard,Plain,100% Silk,3
2022-04-06,Sammy,Emma Brown,Premium,Plain,100% Cotton,1
2022-04-07,Sammy,Emma Brown,Standard,Satin,100% Silk,4
2022-04-08,Mark,Mike Wilson,Standard,Plain,100% Cotton,5
2022-04-08,Sammy,Mike Wilson,Premium,Plain,100% Cotton,1
2022-04-08,Mark,Mike Wilson,Standard,Satin,100% Silk,2
2022-04-09,Mark,Emma Brown,Standard,Satin,100% Silk,3
2022-04-09,Mark,David Lee,Premium,Plain,100% Cotton,1
2022-04-09,Sammy,James Smith,Standard,Plain,100% Cotton,5
2022-04-09,Mark,Emma Brown,Premium,Satin,100% Silk,2
2022-04-09,Mark,James Smith,Premium,Satin,100% Silk,1
2022-04-09,Sammy,Sarah Johnson,Standard,Plain,100% Cotton,3
2022-04-09,Sammy,Mike Wilson,Premium,Plain,100% Silk,1
2022-04-09,Mark,Mike Wilson,Premium,Plain,100% Silk,1
2022-04-09,Mark,James Smith,Standard,Plain,100% Cotton,5
2022-04-09,Sammy,Emma Brown,Premium,Satin,100% Silk,1
2022-04-10,Mark,James Smith,Standard,Satin,100% Cotton,1
2022-04-10,Mark,Emma Brown,Standard,Plain,100% Cotton,3
2022-04-10,Mark,Sarah Johnson,Premium,Satin,100% Cotton,1
2022-04-12,Mark,James Smith,Premium,Satin,100% Silk,2
2022-04-12,Mark,James Smith,Standard,Plain,100% Cotton,3
2022-04-12,Sammy,David Lee,Standard,Satin,100% Silk,1
2022-04-12,Mark,James Smith,Premium,Satin,100% Silk,2
2022-04-13,Sammy,Mike Wilson,Standard,Satin,100% Cotton,2
2022-04-13,Mark,James Smith,Standard,Satin,100% Cotton,5
2022-04-13,Sammy,Mike Wilson,Standard,Satin,100% Silk,2
2022-04-13,Mark,Emma Brown,Premium,Satin,100% Silk,1
2022-04-14,Mark,Mike Wilson,Standard,Plain,100% Silk,3
2022-04-14,Sammy,Mike Wilson,Premium,Plain,100% Cotton,3
2022-04-14,Mark,Mike Wilson,Standard,Satin,100% Silk,4
2022-04-15,Sammy,David Lee,Standard,Satin,100% Cotton,2
2022-04-16,Mark,Mike Wilson,Premium,Satin,100% Silk,1
2022-04-16,Sammy,Mike Wilson,Standard,Plain,100% Cotton,3
2022-04-16,Sammy,James Smith,Premium,Satin,100% Cotton,3
2022-04-16,Sammy,Emma Brown,Premium,Satin,100% Silk,1
2022-04-16,Sammy,Mike Wilson,Standard,Satin,100% Cotton,5
2022-04-16,Sammy,James Smith,Standard,Satin,100% Cotton,5
2022-04-17,Mark,David Lee,Standard,Satin,100% Cotton,3
2022-04-17,Sammy,David Lee,Premium,Plain,100% Silk,1
2022-04-17,Mark,David Lee,Premium,Plain,100% Cotton,2
2022-04-17,Sammy,Mike Wilson,Standard,Plain,100% Cotton,5
2022-04-18,Mark,Mike Wilson,Standard,Plain,100% Cotton,1
2022-04-18,Mark,James Smith,Premium,Satin,100% Cotton,2
2022-04-18,Mark,David Lee,Premium,Plain,100% Cotton,2
2022-04-19,Mark,Sarah Johnson,Standard,Satin,100% Silk,4
2022-04-19,Sammy,David Lee,Standard,Plain,100% Silk,2
2022-04-19,Mark,James Smith,Premium,Satin,100% Cotton,1
2022-04-21,Mark,David Lee,Premium,Plain,100% Cotton,2
2022-04-21,Sammy,Emma Brown,Standard,Plain,100% Silk,4
2022-04-21,Sammy,Sarah Johnson,Premium,Plain,100% Silk,1
2022-04-21,Sammy,James Smith,Premium,Plain,100% Cotton,2
2022-04-22,Sammy,Sarah Johnson,Premium,Plain,100% Silk,1
2022-04-23,Sammy,Sarah Johnson,Standard,Satin,100% Cotton,2
2022-04-23,Sammy,James Smith,Premium,Plain,100% Cotton,2
2022-04-23,Sammy,James Smith,Premium,Satin,100% Cotton,1
2022-04-23,Sammy,James Smith,Premium,Plain,100% Silk,2
2022-04-23,Sammy,Sarah Johnson,Premium,Plain,100% Silk,1
2022-04-23,Sammy,James Smith,Standard,Plain,100% Silk,4
2022-04-23,Mark,Sarah Johnson,Premium,Plain,100% Cotton,3
2022-04-24,Mark,Mike Wilson,Premium,Plain,100% Cotton,3
2022-04-24,Sammy,Mike Wilson,Standard,Plain,100% Cotton,5
2022-04-24,Sammy,James Smith,Standard,Satin,100% Cotton,1
2022-04-25,Sammy,Mike Wilson,Standard,Plain,100% Silk,3
2022-04-25,Sammy,David Lee,Standard,Satin,100% Silk,4
2022-04-25,Sammy,Emma Brown,Premium,Satin,100% Cotton,1
2022-04-26,Sammy,Mike Wilson,Premium,Plain,100% Cotton,2
2022-04-26,Mark,Mike Wilson,Standard,Plain,100% Cotton,5
2022-04-27,Sammy,David Lee,Standard,Plain,100% Cotton,5
2022-04-27,Mark,Mike Wilson,Standard,Satin,100% Silk,3
2022-04-27,Sammy,Sarah Johnson,Premium,Plain,100% Cotton,3
2022-04-27,Sammy,David Lee,Premium,Plain,100% Silk,1
2022-04-27,Sammy,Mike Wilson,Standard,Satin,100% Cotton,5
2022-04-27,Sammy,Emma Brown,Premium,Satin,100% Cotton,1
2022-04-28,Mark,Sarah Johnson,Standard,Plain,100% Cotton,5
2022-04-28,Sammy,David Lee,Premium,Plain,100% Silk,1
2022-04-28,Mark,David Lee,Standard,Plain,100% Silk,4
2022-04-28,Sammy,Mike Wilson,Standard,Satin,100% Cotton,2
2022-04-28,Mark,Emma Brown,Standard,Satin,100% Cotton,5
2022-04-28,Mark,David Lee,Standard,Satin,100% Cotton,5
2022-04-29,Sammy,David Lee,Premium,Satin,100% Cotton,2
2022-04-29,Mark,David Lee,Premium,Plain,100% Cotton,1
2022-04-29,Mark,Mike Wilson,Standard,Satin,100% Cotton,5
2022-04-29,Sammy,Sarah Johnson,Standard,Plain,100% Silk,2
2022-04-30,Mark,James Smith,Standard,Plain,100% Cotton,2
2022-04-30,Sammy,David Lee,Premium,Satin,100% Silk,1
2022-04-30,Sammy,Sarah Johnson,Premium,Plain,100% Cotton,2
2022-04-30,Mark,Sarah Johnson,Premium,Plain,100% Silk,1
2022-04-30,Sammy,Emma Brown,Standard,Plain,100% Cotton,2
2022-05-01,Mark,David Lee,Premium,Plain,100% Cotton,3
2022-05-01,Mark,Sarah Johnson,Premium,Satin,100% Cotton,1
2022-05-02,Sammy,Emma Brown,Premium,Plain,100% Cotton,1
